,Frase,Sentimento
0,não precisei pagar o ingresso,alegria
1,se eu ajeitar tudo fica bem,alegria
2,minha fortuna ultrapassa a sua,alegria
3,sou muito afortunado,alegria
4,e benefico para todos esta nova medida,alegria
5,ficou lindo,alegria
6,achei esse sapato muito simpático,alegria
7,estou ansiosa pela sua chegada,alegria
8,congratulações pelo seu aniversário,alegria
9,delicadamente ele a colocou para dormir,alegria
10,a musica e linda,alegria
11,sem musica eu não vivo,alegria
12,conclui uma tarefa muito difícil,alegria
13,conclui minha graduação,alegria
14,estou muito contente com tudo,alegria
15,eu confio em você,alegria
16,e um prazer conhecê-lo,alegria
17,o coleguismo de vocês e animador,alegria
18,estou aproveitando as ferias,alegria
19,vamos aproveitar as ferias,alegria
20,e muito divertido este jogo,alegria
21,vamos ter muita diversão,alegria
22,não achei que me divertiria tanto assim,alegria
23,vou consentir o orçamento ao cliente,alegria
24,com o consentimento dos meus pais podemos nos casar,alegria
25,eu adorei este perfume,alegria
26,sua bondade e cativante,alegria
27,estou despreocupada,alegria
28,não me preocupo com o que aconteceu,alegria
29,me sinto completamente segura,alegria
30,estimo muito o seu trabalho,alegria
31,somos estimados por nossa família,alegria
32,concretizamos nossa ideia,alegria
33,nosso ideal foi alcançado,alegria
34,estamos muito felizes juntos,alegria
35,estou tão animada com os preparativos para o casamento,alegria
36,você será muito amado meu filho,alegria
37,os apaixonados são maravilhosos,alegria
38,agradeço imensamente o seu apoio nestes dias,alegria
39,esta comida me parece muito atraente,alegria
40,você me completa,alegria
41,poderemos completar o projeto hoje!,alegria
42,estamos namorando,alegria
43,estou namorando este vestido a um tempo,alegria
44,pude comprar meu celular hoje,alegria
45,e um deleite poder compartilhar minhas vitórias,alegria
46,ela e um boa garota,alegria
47,estivemos em um ótimo show,alegria
48,"ate que enfim, não agüentava mais te esperar",raiva
49,eu quero meu dinheiro de volta agora!,raiva
50,eu odeio a escola!,raiva
51,"pqp, que merda de festa",raiva
52,"eu nunca tiro notas altas, que droga",raiva
53,"fiquei chapado e bati o carro, pqp que raiva",raiva
54,"nao passei no vestibular por pouco, ridiculo esse teste!",raiva
55,vou fazer picadinho de você,raiva
56,detesto trabalhar no verão,raiva
57,"quero minha comida, e quero agora!",raiva
58,melhor você recolher minhas compras agora!,raiva
59,quero descer agora sua maluca,raiva
60,vou reclamar com o gerente!,raiva
61,vai engolir o que disse!,raiva
62,ele me ridiculariza diante de todos,raiva
63,não quero mais saber de você,raiva
64,vejo você na cadeia safado!,raiva
65,agora vou ter que pagar mais isso ainda!,raiva
66,saia logo do banheiro!,raiva
67,suba já para o seu quarto!,raiva
68,eu falei para calar a boca seu idiota!,raiva
69,eu disse para você cair fora!,raiva
70,não agüento mais que fiquem me culpando sem motivo!,raiva
71,não suporto olhar na sua cara!,raiva
72,eu não sou um elefante,raiva
73,juro que se olhar pra mim eu o mato!,raiva
74,"chega, não quero saber mais deste assunto",raiva
75,como pode ser tão burro?,raiva
76,não me aborreça seu moleque,raiva
77,não quero me aborrecer com estas bobagens,raiva
78,ele me agrediu!,raiva
79,eu amaldiçôo você e a sua família,raiva
80,não me amole,raiva
81,não venha me amolar,raiva
82,isso tudo e uma tormenta,raiva
83,eu vou matar você,raiva
84,para que simplificar se você pode sempre complicar,raiva
85,isso esta me enlouquecendo,raiva
86,estou furiosa com você,raiva
87,isso mesmo fique furioso,raiva
88,isso tudo e um erro,tristeza
89,eu sou errada eu sou errante,tristeza
90,tenho muito dó do cachorro,tristeza
91,e dolorida a perda de um filho,tristeza
92,essa tragedia vai nos abalar para sempre,tristeza
93,perdi meus filhos,tristeza
94,perdi meu curso,tristeza
95,sou só uma chorona,tristeza
96,você e um chorão,tristeza
97,se arrependimento matasse,tristeza
98,me sinto deslocado em sala de aula,tristeza
99,foi uma passagem fúnebre,tristeza
100,nossa condolências e tristeza a sua perda,tristeza
101,"desanimo, raiva, solidão ou vazies, depressão",tristeza
102,vivo te desanimando,tristeza
103,estou desanimado,tristeza
104,"imperador sanguinário, depravado e temeroso",tristeza
105,meu ser esta em agonia,tristeza
106,este atrito entre nos tem que acabar,tristeza
107,a escuridão desola meu ser,tristeza
108,sua falsa preocupação,tristeza
109,sua falsidade me entristece,tristeza
110,quem esta descontente com os outros esta descontente consigo próprio,tristeza
111,a torcida esta descontente com a demissão do tecnico,tristeza
112,estou bastante aborrecido com o jornal,tristeza
113,me sinto solitário e entediado,tristeza
114,a vida e solitária para aqueles que não são falsos,tristeza
115,como com compulsão depois da depressão,tristeza
116,estou me desencorajando a viver,tristeza
117,ele desencoraja minhas vontades,tristeza
118,isso vai deprimindo por dentro,tristeza
119,acho que isso e defeituoso,tristeza
120,os remedios me derrubam na cama,tristeza
121,a depressão vai me derrubar,tristeza
122,suas desculpas são falsas,tristeza
123,não magoe as pessoas,tristeza
124,Eu achei este sapato muito bonito,alegria
125,Anseio pela sua chegada,alegria
126,parabéns por seu aniversário,alegria
127,ele a colocou delicadamente para dormir,alegria
128,a música e a beleza,alegria
129,sem música eu não vivo,alegria
130,Estou muito feliz com tudo,alegria
131,Eu confio em você,alegria
132,e um prazer em conhecê-lo,alegria
133,Estou aproveitando as férias,alegria
134,vamos aproveitar as férias,alegria
135,teremos muita diversão,alegria
136,Eu não pensei que me divertiria tanto,alegria
137,Eu darei o orçamento ao cliente,alegria
138,com o consentimento de meus pais podemos nos casar,alegria
139,Adorei este perfume,alegria
140,Estou despreocupado,alegria
141,Eu não me preocupo com o que aconteceu,alegria
142,Eu me sinto completamente seguro,alegria
143,Eu realmente aprecio seu trabalho,alegria
144,realizamos nossa idéia,alegria
145,somos muito felizes juntos,alegria
146,Estou tão entusiasmado com os preparativos para o casamento,alegria
147,os amantes são maravilhosos,alegria
148,Agradeço imensamente seu apoio nestes dias,alegria
149,este alimento me parece muito atraente,alegria
150,Eu tenho namorado este vestido há algum tempo,alegria
151,Eu poderia comprar meu telefone celular hoje,alegria
152,e um prazer em compartilhar minhas vitórias,alegria
153,ela é uma boa garota,alegria
154,estávamos em um grande espetáculo,alegria
155,"Finalmente, eu não suportava mais esperar por você",raiva
156,Eu quero meu dinheiro de volta agora!,raiva
157,Eu odeio a escola!,raiva
158,"pqp, que festa de merda",raiva
159,"Eu nunca tomo notas altas, que droga",raiva
160,"Eu fiquei pedrado e bati com o carro, pqp que raiva",raiva
161,"Eu não passei no vestibular por um tempo, ridículo este teste!",raiva
162,Eu vou fazer você,raiva
163,Eu odeio trabalhar no verão,raiva
164,"Eu quero minha comida, e quero agora!",raiva
165,Eu quero descer agora você está louco,raiva
166,eu vou reclamar com o gerente!,raiva
167,vai engolir o que ele disse!,raiva
168,ele me ridiculariza na frente de todos,raiva
169,Eu não me importo mais com você,raiva
170,"Vejo você na cadeia, malandreco!",raiva
171,agora vou ter que pagar ainda mais por isso!,raiva
172,saia do banheiro!,raiva
173,Vá para o seu quarto agora!,raiva
174,"Eu lhe disse para calar a boca, seu idiota!",raiva
175,Eu lhe disse para sair!,raiva
176,Não aguento mais se eles continuam me culpando por nada!,raiva
177,Eu não suporto olhar para seu rosto!,raiva
178,Eu não sou um elefante,raiva
179,Eu juro que se você olhar para mim eu te mato!,raiva
180,já não quero saber mais sobre este assunto,raiva
181,como você pode ser tão burro?,raiva
182,não me aborreça seu filho,raiva
183,Não quero me aborrecer com este absurdo,raiva
184,Eu te amaldiçôo e sua família,raiva
185,não me amoleça,raiva
186,não venha me moer,raiva
187,tudo isso e uma tempestade,raiva
188,Eu vou matar você,raiva
189,para simplificar se você pode sempre complicar,raiva
190,isto está me deixando louco,raiva
191,Estou furioso com você,raiva
192,isso é certo ficar com raiva,raiva
193,tudo isso é um erro,tristeza
194,"Estou errado, estou vagueando",tristeza
